name,tradeType,ticker,strikePrice,optionType,date,price,timePlaced,traded,notes
wildape,BTO,SE,270C,C,04/30,3.5,2021-04-26 07:53:42.128010,True,
wildape,STC,SE,270C,C,04/30,3.85,2021-04-26 07:54:29.814550,True,
wildape,BTO,SE,270C,C,04/30,3.5,2021-04-26 09:37:30.108002,True,(RISKY SCALP) - wide spread
wildape,STC,SE,270C,C,04/30,3.85,2021-04-26 09:37:39.566236,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 06:50:57.696003,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.5,2021-04-27 06:51:24.547049,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 06:59:33.095456,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.5,2021-04-27 06:59:47.843421,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 07:01:03.009117,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.5,2021-04-27 07:08:09.441444,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 07:13:50.018780,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.5,2021-04-27 07:18:57.402401,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 07:21:52.562432,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.5,2021-04-27 07:22:01.807959,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 07:22:31.075477,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.50,2021-04-27 07:26:15.530473,True,(Scale out some profits here)
wildape,BTO,ROKU,365C,C,04/30,5.95,2021-04-27 07:26:33.490493,True,(RISKY SCALP)
wildape,STC,ROKU,365C,C,04/30,6.50,2021-04-27 07:26:39.379876,True,(Scale out some profits here)
